server_logs | INFO flwr 2023-12-27 21:30:28,800 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
server_logs | DEBUG flwr 2023-12-27 21:56:09,249 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 4)
server_logs | DEBUG flwr 2023-12-27 21:56:09,442 | server.py:236 | fit_round 1 received 4 results and 0 failures
server_logs | DEBUG flwr 2023-12-27 21:56:09,443 | server.py:173 | evaluate_round 1: strategy sampled 4 clients (out of 4)
server_logs | DEBUG flwr 2023-12-27 21:56:09,469 | server.py:187 | evaluate_round 1 received 4 results and 0 failures
server_logs | DEBUG flwr 2023-12-27 21:56:09,469 | server.py:222 | fit_round 2: strategy sampled 4 clients (out of 4)
server_logs | DEBUG flwr 2023-12-27 21:56:09,668 | server.py:236 | fit_round 2 received 4 results and 0 failures
server_logs | DEBUG flwr 2023-12-27 21:56:09,670 | server.py:173 | evaluate_round 2: strategy sampled 4 clients (out of 4)
server_logs | DEBUG flwr 2023-12-27 21:56:09,704 | server.py:187 | evaluate_round 2 received 4 results and 0 failures
server_logs | DEBUG flwr 2023-12-27 21:56:09,705 | server.py:222 | fit_round 3: strategy sampled 4 clients (out of 4)
server_logs | DEBUG flwr 2023-12-27 21:56:09,916 | server.py:236 | fit_round 3 received 4 results and 0 failures
server_logs | DEBUG flwr 2023-12-27 21:56:09,917 | server.py:173 | evaluate_round 3: strategy sampled 4 clients (out of 4)
server_logs | DEBUG flwr 2023-12-27 21:56:09,940 | server.py:187 | evaluate_round 3 received 4 results and 0 failures
server_logs | INFO flwr 2023-12-27 21:56:09,941 | server.py:153 | FL finished in 3.024718699976802
server_logs | INFO flwr 2023-12-27 21:56:09,941 | app.py:226 | app_fit: losses_distributed [(1, 3.6334328651428223), (2, 3.6334328055381775), (3, 3.48809552192688)]
server_logs | INFO flwr 2023-12-27 21:56:09,942 | app.py:227 | app_fit: metrics_distributed_fit {'Accuracy': [(1, 0.0), (2, 0.0), (3, 0.0)], 'Precision': [(1, 0.0), (2, 0.0), (3, 0.0)], 'Recall': [(1, 0.0), (2, 0.0), (3, 0.0)], 'F1_Score': [(1, 0.0), (2, 0.0), (3, 0.0)]}
server_logs | INFO flwr 2023-12-27 21:56:09,943 | app.py:228 | app_fit: metrics_distributed {'Accuracy': [(1, 0.899194), (2, 0.899194), (3, 0.903226)], 'Precision': [(1, 0.894257), (2, 0.894694), (3, 0.89987)], 'Recall': [(1, 0.899194), (2, 0.899194), (3, 0.903226)], 'F1_Score': [(1, 0.893934), (2, 0.892843), (3, 0.898651)]}
server_logs | INFO flwr 2023-12-27 21:56:09,945 | app.py:229 | app_fit: losses_centralized []
server_logs | INFO flwr 2023-12-27 21:56:09,945 | app.py:230 | app_fit: metrics_centralized {}
